movie_id,title,genre,description
29,Raiders of the Lost Ark,Action|Adventure,<Raiders of the Lost Ark> is an action-adventure film directed by Steven Spielberg and released in 1981.
30,Brazil,Sci-Fi,<Brazil> is a dystopian science-fiction movie directed by Terry Gilliam.
31,Batman,Action|Adventure|Crime|Drama,<Batman > is a superhero movie directed by Tim Burton and starring Michael Keaton as Batman and Jack Nicholson as the Joker.
32,Snow White and the Seven Dwarfs,Animation|Children's|Musical,"<Snow White and the Seven Dwarfs> is a classic Disney animated movie about a young princess named Snow White who is forced to flee her home after her wicked stepmother, the Queen, orders her death."
33,Beauty and the Beast,Animation|Children's|Musical,<Beauty and the Beast > is a classic Disney animated movie about a young woman named Belle who is taken captive by a cursed prince who has been transformed into a beast.
34,Pinocchio,Animation|Children's,<Pinocchio> is a classic Disney animated movie about a wooden puppet named Pinocchio who dreams of becoming a real boy.
35,Pretty Woman,Comedy|Romance,"<Pretty Woman> is a romantic comedy film that tells the story of a wealthy businessman named Edward Lewis, who hires a prostitute named Vivian Ward to accompany him to various social events."
36,Bride of Frankenstein,Horror,<Bride of Frankenstein> is a horror film that follows the story of Dr.
37,Legend,Adventure|Fantasy|Romance,<Legend> is a fantasy adventure film released in 1985.
38,Tender Mercies,Drama,"<Tender Mercies> is a drama film from 1983 that tells the story of Mac Sledge, a washed-up country singer who has hit rock bottom due to his alcohol addiction."
39,Sixteen Candles,Comedy,<Sixteen Candles> is a coming-of-age comedy film about a teenage girl named Samantha who is turning 16 but feels invisible because her family is preoccupied with her older sister's wedding.
40,Pretty in Pink,Comedy|Drama|Romance,<Pretty in Pink> is a romantic comedy-drama movie from 1986 about a high school girl named Andie who comes from a working-class background and falls in love with a wealthy boy named Blane.
41,Evita,Drama|Musical,"<Evita> is a musical drama film based on the life of Eva Perón, a popular and controversial First Lady of Argentina."
42,Cape Fear,Thriller,"<Cape Fear> is a psychological thriller movie about a convicted rapist, Max Cady, who is released from prison and seeks revenge on his former lawyer, Sam Bowden, who he believes did not represent him well."
43,Cape Fear,Film-Noir|Thriller,<Cape Fear> is a psychological thriller film from 1962 directed by J.
44,Carrie,Horror,<Carrie> is a horror movie based on the novel by Stephen King.
45,Patton,Drama|War,<Patton> is a biographical war film that follows the life of General George S.
46,Highlander,Action|Adventure,Highlander  is a fantasy action-adventure film about an immortal Scottish swordsman named Connor MacLeod (played by Christopher Lambert) who must battle against other immortals in a centuries-long quest for the ultimate prize: the ability to become mortal.
47,Young Frankenstein,Comedy|Horror,<Young Frankenstein> is a comedic horror film directed by Mel Brooks.
48,Lady and the Tramp,Animation|Children's|Comedy|Musical|Romance,Lady and the Tramp  is an animated musical film produced by Walt Disney Productions.
49,Breaking the Waves,Drama,<Breaking the Waves> is a drama film directed by Lars von Trier.
50,Fantasia,Animation|Children's|Musical,<Fantasia> is a musical film produced by Walt Disney in 1940.
51,Almost Famous,Comedy|Drama,<Almost Famous> is a coming-of-age film about a 15-year-old aspiring journalist named William who gets the chance to go on tour with the fictional rock band Stillwater for Rolling Stone magazine.
52,101 Dalmatians,Children's|Comedy,<101 Dalmatians>  is a live-action adaptation of the classic Disney animated film.
53,101 Dalmatians,Animation|Children's,"<101 Dalmatians> is a classic animated movie from Disney about a couple, Pongo and Perdita, and their 15 puppies who are kidnapped by the villainous Cruella de Vil, who wants to turn them into a fur coat."
54,High Noon,Western,<High Noon> is a classic Western film about a retiring sheriff named Will Kane who must defend his town against a gang of outlaws who are coming to seek revenge on him.
55,Shine,Drama|Romance,<Shine> is a biographical drama film that tells the story of Australian pianist David Helfgott.
56,Somewhere in Time,Drama|Romance,<Somewhere in Time> is a romantic fantasy film about a playwright named Richard Collier who becomes obsessed with a photograph of a beautiful young woman from the past.
57,This Is Spinal Tap,Comedy|Drama|Musical,<This Is Spinal Tap> is a mockumentary film that follows the fictional heavy metal band Spinal Tap on their tour of the United States.
58,Jagged Edge,Thriller,<Jagged Edge> is a thriller movie from 1985 directed by Richard Marquand.
59,History of the World: Part I,Comedy,<History of the World: Part I> is a comedy film directed by Mel Brooks.
60,Nashville,Drama|Musical,<Nashville> is a satirical drama film directed by Robert Altman.
61,Rosemary's Baby,Horror|Thriller,<Rosemary's Baby> is a psychological horror film directed by Roman Polanski.
62,Funny Face,Comedy|Musical,<Funny Face> is a musical romantic comedy that follows a shy bookstore clerk named Jo Stockton (played by Audrey Hepburn) who is discovered by a fashion photographer named Dick Avery (played by Fred Astaire).
63,Breakfast at Tiffany's,Drama|Romance,<Breakfast at Tiffany's> is a romantic comedy film based on Truman Capote's novella of the same name.
64,Vertigo,Mystery|Thriller,<Vertigo> is a psychological thriller film directed by Alfred Hitchcock.
65,Rear Window,Mystery|Thriller,<Rear Window> is a classic mystery thriller directed by Alfred Hitchcock.
66,Being There,Comedy,<Being There> is a comedy-drama film from 1979 directed by Hal Ashby.
67,It Happened One Night,Comedy,<It Happened One Night> is a romantic comedy film from 1934 that follows the story of a spoiled heiress who runs away from her father and falls in love with a reporter who is trying to get a big story.
68,Gandhi,Drama,<Gandhi> is a biographical drama film directed by Richard Attenborough.
69,Sleeping Beauty,Animation|Children's|Musical,<Sleeping Beauty > is a classic Disney animated movie based on the fairy tale of the same name.
70,M*A*S*H,Comedy|War,<M*A*S*H > is a satirical comedy-drama film directed by Robert Altman.
71,North by Northwest,Drama|Thriller,<North by Northwest> is a classic thriller movie directed by Alfred Hitchcock.
72,Pink Floyd - The Wall,Drama|Musical|War,"<Pink Floyd - The Wall> is a musical drama film based on the rock band Pink Floyd's 1979 album ""The Wall."
73,Places in the Heart,Drama,<Places in the Heart> is a drama film set in the American South during the Great Depression.
74,Children of a Lesser God,Drama,"<Children of a Lesser God> is a romantic drama film that tells the story of a speech teacher, James, who falls in love with a deaf custodian, Sarah."
75,Broadcast News,Comedy|Drama|Romance,"<Broadcast News> is a romantic comedy-drama that follows the personal and professional lives of three television journalists: a talented but insecure news producer named Jane, a handsome and charismatic reporter named Tom, and an intelligent but unattractive correspondent named Aaron."
76,Working Girl,Comedy|Drama,<Working Girl> is a 1988 romantic comedy-drama film directed by Mike Nichols.
77,Star Trek: The Motion Picture,Action|Adventure|Sci-Fi,<Star Trek: The Motion Picture> is a science fiction film that follows the crew of the USS Enterprise as they embark on a mission to intercept a mysterious and powerful entity that is heading towards Earth.
78,Charade,Comedy|Mystery|Romance|Thriller,<Charade> is a classic 1963 American romantic comedy thriller film directed by Stanley Donen and starring Cary Grant and Audrey Hepburn.
79,Beetlejuice,Comedy|Fantasy,"<Beetlejuice> is a dark comedy movie about a recently deceased couple, Adam and Barbara, who become ghosts and are stuck haunting their old home."
80,Casablanca,Drama|Romance|War,<Casablanca> is a classic Hollywood film set during World War II.
81,Say Anything...,Comedy|Drama|Romance,"<Say Anything...> is a romantic comedy-drama film about an underachieving high school graduate named Lloyd Dobler who falls in love with a beautiful and intelligent girl named Diane Court. Despite their different backgrounds, the two begin a relationship that is challenged by Diane's overprotective father, who disapproves of their relationship. The film explores themes of love, family, and the transition from adolescence to adulthood."
82,Star Trek V: The Final Frontier,Action|Adventure|Sci-Fi,<Star Trek V: The Final Frontier> is a science fiction movie that follows the crew of the USS Enterprise as they embark on a mission to rescue hostages taken by a renegade Vulcan named Sybok.
83,Star Trek: The Wrath of Khan,Action|Adventure|Sci-Fi,"<Star Trek: The Wrath of Khan> is a science fiction movie that follows the crew of the USS Enterprise as they face off against their old enemy, Khan Noonien Singh."
84,My Fair Lady,Musical|Romance,"<My Fair Lady> is a musical film adaptation of the stage musical of the same name, which is based on George Bernard Shaw's play <Pygmalion>."
85,Family Plot,Comedy|Thriller,<Family Plot> is a comedy thriller directed by Alfred Hitchcock.
86,Star Trek III: The Search for Spock,Action|Adventure|Sci-Fi,"In <Star Trek III: The Search for Spock,> the crew of the USS Enterprise must find a way to resurrect their dead comrade, Spock, after he sacrificed himself to save the ship in the previous film."
87,Sabrina,Comedy|Romance,<Sabrina>  is a romantic comedy-drama film about a chauffeur's daughter named Sabrina Fairchild who falls in love with the younger son of the wealthy family she works for.
88,Sabrina,Comedy|Romance,<Sabrina> is a romantic comedy film directed by Billy Wilder and released in 1954.
89,Frenzy,Thriller,<Frenzy> is a thriller movie directed by Alfred Hitchcock.
90,Roman Holiday,Comedy|Romance,<Roman Holiday> is a classic romantic comedy film from 1953 starring Audrey Hepburn and Gregory Peck.
91,Meet Me in St. Louis,Musical,"<Meet Me in St. Louis> is a musical film set in St. Louis, Missouri in the year leading up to the 1904 World's Fair. The story follows the Smith family, who are preparing to move to New York City, and their various romantic entanglements. The film explores themes of family, love, and the excitement of a rapidly changing world. Some of the most famous moments in the film include the songs <The Trolley Song> and <Have Yourself a Merry Little Christmas.>"
92,Trainspotting,Drama,"<Trainspotting> is a British film that follows the lives of a group of heroin addicts in Edinburgh, Scotland."
93,Pokémon: The First Movie,Animation|Children's,<Pokémon: The First Movie> is an animated film that follows Ash Ketchum and his friends as they travel to a mysterious island to participate in a tournament.
94,Marnie,Thriller,<Marnie> is a psychological thriller directed by Alfred Hitchcock.
95,Grease,Comedy|Musical|Romance,<Grease> is a musical romantic comedy set in the 1950s.
96,Gone with the Wind,Drama|Romance|War,<Gone with the Wind> is a classic American film released in 1939 and directed by Victor Fleming.
97,Citizen Kane,Drama,<Citizen Kane> is a classic American drama film directed by Orson Welles.
98,Independence Day (ID4),Action|Sci-Fi|War,<Independence Day> is a science fiction action film released in 1996.
99,All About Eve,Drama,"<All About Eve> is a classic drama film from 1950 that tells the story of a young and ambitious actress named Eve Harrington, who insinuates herself into the life of an aging Broadway star named Margo Channing."
100,Rebecca,Romance|Thriller,<Rebecca > is a psychological thriller film directed by Alfred Hitchcock.
101,First Blood,Action,<First Blood> is a movie about a former Green Beret named John Rambo who is arrested and mistreated by a small town sheriff and his deputies.
102,Holiday Inn,Comedy|Musical,"<Holiday Inn> is a classic musical film from 1942 that follows the story of a famous song-and-dance team, Jim Hardy (Bing Crosby) and Ted Hanover (Fred Astaire), who both fall in love with their performing partner, Lila Dixon (Virginia Dale)."
103,Romancing the Stone,Action|Adventure|Comedy|Romance,<Romancing the Stone> is a romantic adventure comedy film released in 1984.
104,About Last Night...,Comedy|Drama|Romance," is a romantic comedy-drama film that follows the lives of two couples, Danny and Debbie, and Bernie and Joan, as they navigate the ups and downs of modern relationships. The film explores themes of love, commitment, and the challenges of maintaining a healthy relationship in the face of various obstacles.."
105,Notorious,Film-Noir|Romance|Thriller,<Notorious > is a classic film noir directed by Alfred Hitchcock.
106,Willow,Action|Adventure|Fantasy,<Willow> is a fantasy adventure film directed by Ron Howard and produced by George Lucas.
107,Spellbound,Mystery|Romance|Thriller,<Spellbound> is a psychological thriller directed by Alfred Hitchcock.
108,"Affair to Remember, An",Romance,<An Affair to Remember> is a classic romantic movie from 1957.
109,Donnie Brasco,Crime|Drama,<Donnie Brasco> is a crime drama film based on the true story of an FBI agent named Joseph D.
110,Jerry Maguire,Drama|Romance,<Jerry Maguire> is a romantic comedy-drama film directed by Cameron Crowe.
111,To Catch a Thief,Comedy|Romance|Thriller,<To Catch a Thief> is a classic 1955 American romantic thriller film directed by Alfred Hitchcock.
112,Raising Arizona,Comedy,<Raising Arizona> is a comedy film directed by Joel Coen and starring Nicolas Cage and Holly Hunter.
113,Gigi,Musical,<Gigi> is a musical film set in Paris in the early 1900s.
114,Bound,Crime|Drama|Romance|Thriller,<Bound> is a neo-noir crime thriller directed by the Wachowskis.
115,Clue,Comedy|Mystery,<Clue> is a comedy-mystery movie based on the popular board game of the same name.
116,Moonstruck,Comedy,"<Moonstruck> is a romantic comedy film about an Italian-American widow named Loretta Castorini who falls in love with her fiancé's estranged younger brother, Ronny Cammareri."
117,One True Thing,Drama,"One True Thing is a 1998 drama film directed by Carl Franklin and starring Meryl Streep, Renée Zellweger, and William Hurt."
118,L.A. Confidential,Crime|Film-Noir|Mystery|Thriller,"<L.A. Confidential> is a crime thriller movie set in 1950s Los Angeles. The story follows three LAPD officers - Bud White, Ed Exley, and Jack Vincennes - as they investigate a series of interconnected crimes, including a mass murder at a coffee shop, a Hollywood scandal involving a call girl, and police corruption within their own department. As they delve deeper into the case, the officers uncover a web of lies, deceit, and betrayal that threatens to destroy their careers and lives. The movie is based on the novel of the same name by James Ellroy and features an ensemble cast including Kevin Spacey, Russell Crowe, and Guy Pearce."
119,Laura,Crime|Film-Noir|Mystery,The movie <Laura>  is a classic film noir mystery about a detective named Mark McPherson who investigates the murder of a beautiful advertising executive named Laura Hunt.
120,Top Hat,Comedy|Musical|Romance,<Top Hat> is a classic musical comedy film from 1935 starring Fred Astaire and Ginger Rogers.
121,Giant,Drama,<Giant> is a classic American drama film released in 1956.
122,East of Eden,Drama,<East of Eden> is a 1955 film directed by Elia Kazan and stars James Dean.
123,You've Got Mail,Comedy|Romance,"<You've Got Mail> is a romantic comedy film about two business rivals, Kathleen Kelly (Meg Ryan) and Joe Fox (Tom Hanks), who unknowingly fall in love with each other through anonymous email conversations."
124,Stuart Little,Children's|Comedy,"<Stuart Little> is a 1999 family comedy film about a mouse named Stuart who is adopted by a human family, the Littles."
125,Mighty Joe Young,Adventure|Children's|Drama,<Mighty Joe Young> is a movie about a young woman named Jill Young who raises a giant gorilla named Joe in Africa.
126,Mighty Joe Young,Adventure|Children's|Drama,<Mighty Joe Young> is a classic adventure film about a giant gorilla named Joe who is brought to America from Africa by a young woman named Jill.
127,Fantasia 2000,Animation|Children's|Musical,<Fantasia 2000> is a musical animated film that features eight segments set to classical music pieces performed by the Chicago Symphony Orchestra.
128,Harvey,Comedy,"<Harvey> is a classic comedy-drama film from 1950, directed by Henry Koster."
129,His Girl Friday,Comedy,<His Girl Friday> is a classic screwball comedy film directed by Howard Hawks.
130,Them!,Sci-Fi|Thriller|War,<Them! > is a classic science fiction movie about giant ants that have been mutated by atomic radiation.
131,It's a Wonderful Life,Drama,<It's a Wonderful Life> is a classic Christmas movie about a man named George Bailey who has always put the needs of others before his own.
132,Mr. Smith Goes to Washington,Drama,"<Mr. Smith Goes to Washington> is a classic American political drama film directed by Frank Capra. The movie is about a naive and idealistic young man named Jefferson Smith (played by James Stewart), who is appointed to the United States Senate after the death of a senator from his state. Despite being new to politics, Smith is determined to make a difference and fight against corruption in the government. However, he soon discovers that the political system is not as straightforward as he thought, and he faces opposition from powerful figures who are determined to silence him. The film explores themes of democracy, corruption, and individualism, and is considered a classic of American cinema."
133,Bringing Up Baby,Comedy,<Bringing Up Baby> is a classic screwball comedy from 1938 that follows the story of a paleontologist named David who is trying to secure a donation for his museum.
134,Stardust Memories,Comedy|Drama,<Stardust Memories> is a comedy-drama film directed by Woody Allen.
135,Edward Scissorhands,Drama|Romance,<Edward Scissorhands> is a fantasy film directed by Tim Burton and released in 1990.
136,King Kong,Action|Adventure|Horror,<King Kong > is a classic adventure film about a group of explorers who travel to a mysterious island and encounter a giant gorilla named Kong.
137,King Kong,Action|Adventure|Horror,"<King Kong > is a remake of the classic 1933 film, and it tells the story of an ambitious oil executive, Fred Wilson, who leads an expedition to a mysterious, uncharted island called Skull Island."
138,Chasing Amy,Drama|Romance,<Chasing Amy> is a romantic comedy-drama film directed by Kevin Smith.
139,Hercules,Adventure|Animation|Children's|Comedy|Musical,<Hercules > is an animated musical film produced by Walt Disney Pictures.
140,Desperately Seeking Susan,Comedy|Romance,<Desperately Seeking Susan> is a comedy-drama film from 1985 that follows the story of a bored housewife named Roberta who becomes obsessed with a mysterious woman named Susan after reading about her in the personal ads.
141,Shampoo,Comedy|Romance,"<Shampoo> is a satirical comedy-drama film set in the late 1960s, which follows the life of a successful Beverly Hills hairdresser named George Roundy (played by Warren Beatty)."
142,My Best Friend's Wedding,Comedy|Romance,<My Best Friend's Wedding> is a romantic comedy film about a woman named Julianne Potter who realizes she is in love with her best friend Michael O'Neal just as he announces his engagement to another woman named Kimmy.
143,Singin' in the Rain,Musical|Romance,<Singin' in the Rain> is a classic musical comedy film from 1952 that follows the story of a Hollywood actor named Don Lockwood (played by Gene Kelly) and his transition from silent films to talkies.
144,Wonder Boys,Comedy|Drama,<Wonder Boys> is a 2000 comedy-drama film directed by Curtis Hanson.
145,Face/Off,Action|Sci-Fi|Thriller,<Face/Off> is a 1997 action thriller movie directed by John Woo.
146,Police Academy,Comedy,<Police Academy > is a comedy film about a group of misfit police recruits who attend the Police Academy to become police officers.
147,Cat on a Hot Tin Roof,Drama,<Cat on a Hot Tin Roof> is a drama film based on the play of the same name by Tennessee Williams.
148,Meet John Doe,Drama,<Meet John Doe> is a 1941 drama film directed by Frank Capra.
149,"Blue Angel, The (Blaue Engel, Der)",Drama,<The Blue Angel> is a German film from 1930 that tells the story of a respectable professor who becomes infatuated with a cabaret singer named Lola Lola.
150,Agnes of God,Drama|Mystery,<Agnes of God> is a psychological drama film about a novice nun named Agnes who gives birth to a baby and claims that the child was the result of a virgin conception.
151,Titanic,Drama|Romance,"<Titanic > is a romantic disaster film that tells the story of a young aristocrat, Rose, who falls in love with a poor artist, Jack, on board the ill-fated Titanic ship."
152,Titanic,Action|Drama,<Titanic > is a fictionalized account of the sinking of the Titanic in 1912.
153,Tomorrow Never Dies,Action|Romance|Thriller,<Tomorrow Never Dies> is a James Bond film released in 1997.
154,Gattaca,Drama|Sci-Fi|Thriller,Gattaca is a science fiction movie that takes place in a future society where genetic engineering is the norm and people are judged based on their genetic makeup.
155,Taxi Driver,Drama|Thriller,<Taxi Driver> is a psychological thriller film directed by Martin Scorsese and released in 1976.
156,Contact,Drama|Sci-Fi,<Contact> is a science fiction film that follows the story of Dr.
157,"Night to Remember, A",Action|Drama,<A Night to Remember> is a British drama film that depicts the sinking of the RMS Titanic on its maiden voyage in 1912.
158,Key Largo,Crime|Drama|Film-Noir|Thriller,"<Key Largo> is a 1948 film noir directed by John Huston and starring Humphrey Bogart, Lauren Bacall, and Edward G."
159,Entrapment,Crime|Thriller,"<Entrapment> is a heist movie released in 1999, starring Sean Connery and Catherine Zeta-Jones."
160,Erin Brockovich,Drama,"<Erin Brockovich> is a biographical drama film that tells the story of a single mother, Erin Brockovich (played by Julia Roberts), who becomes a legal assistant and helps to win a major lawsuit against a California power company accused of polluting a city's water supply."
161,Stripes,Comedy,"<Stripes> is a comedy film from 1981 about two friends, John Winger (played by Bill Murray) and Russell Ziskey (played by Harold Ramis), who join the US Army after facing various personal and professional setbacks."
162,Star Trek: Insurrection,Action|Sci-Fi,<Star Trek: Insurrection> is a science fiction movie that follows the crew of the USS Enterprise as they discover a plot by the Federation to forcibly relocate a peaceful alien race from their home planet in order to exploit the planet's unique properties.
163,Stalag 17,Drama|War,<Stalag 17> is a film about a group of American prisoners of war held in a German prison camp during World War II.
164,Jumpin' Jack Flash,Action|Comedy|Romance|Thriller,<Jumpin' Jack Flash> is a comedy film from 1986 starring Whoopi Goldberg.
165,Peggy Sue Got Married,Comedy|Romance,<Peggy Sue Got Married> is a comedy-drama film directed by Francis Ford Coppola.
166,Shakespeare in Love,Comedy|Romance,"<Shakespeare in Love> is a romantic comedy-drama film that tells the fictional story of William Shakespeare, a struggling playwright who falls in love with Viola de Lesseps, a wealthy woman who longs to become an actress."
167,Miracle on 34th Street,Drama,"<Miracle on 34th Street>  is a Christmas comedy-drama film about a young girl named Susan who meets a man named Kris Kringle, who claims to be the real Santa Claus."
168,Miracle on 34th Street,Drama,<Miracle on 34th Street> is a classic Christmas movie about a man named Kris Kringle who claims to be the real Santa Claus.
169,Conspiracy Theory,Action|Mystery|Romance|Thriller,"<Conspiracy Theory> is a thriller movie from 1997 that follows the story of a New York City taxi driver named Jerry Fletcher, played by Mel Gibson, who becomes obsessed with various conspiracy theories."
170,Mildred Pierce,Drama,"<Mildred Pierce > is a film noir drama about a mother, Mildred Pierce, who sacrifices everything to provide for her ungrateful daughter, Veda."
171,Birdy,Drama|War,"<Birdy> is a drama film directed by Alan Parker, based on the novel of the same name by William Wharton."
172,Thelma & Louise,Action|Drama,"<Thelma & Louise > is a road movie about two best friends, Thelma and Louise, who embark on a weekend getaway."
173,Crocodile Dundee,Adventure|Comedy,<Crocodile Dundee> is a comedy-adventure film about an Australian bushman named Mick Dundee who travels to New York City with a journalist named Sue Charlton.
174,Witness,Drama|Romance|Thriller,<Witness> is a thriller movie from 1985 directed by Peter Weir.
175,Dark City,Film-Noir|Sci-Fi|Thriller,"<Dark City> is a science fiction film that follows John Murdoch, a man who wakes up in a hotel room with no memory of who he is or how he got there."
176,...And Justice for All,Drama|Thriller,"<...And Justice for All> is a legal drama film from 1979 that follows the story of an ethical and idealistic defense attorney named Arthur Kirkland, played by Al Pacino. Kirkland finds himself in a moral dilemma when he is forced to defend a judge who he despises, who has been accused of rape. As he navigates the corrupt legal system and grapples with his own values, Kirkland must decide whether to compromise his integrity or risk losing everything he has worked for. The film explores themes of justice, morality, and the flaws of the American legal system."
177,Animal House,Comedy,<Animal House> is a comedy film that follows the misadventures of a fraternity house at a fictional college in 1962.
178,Do the Right Thing,Comedy|Drama,"<Do the Right Thing> is a 1989 film directed by Spike Lee, which depicts a day in the life of a racially diverse neighborhood in Brooklyn, New York."
179,Star Wars: Episode I - The Phantom Menace,Action|Adventure|Fantasy|Sci-Fi,"<Star Wars: Episode I - The Phantom Menace> is a science fiction movie that takes place in a galaxy far, far away."
180,Breaking Away,Drama,<Breaking Away> is a coming-of-age movie about four friends from a small town in Indiana who are struggling to find their place in the world after high school.
181,Murphy's Romance,Comedy|Romance,<Murphy's Romance> is a romantic comedy-drama film released in 1985.
182,Network,Comedy|Drama,<Network> is a satirical movie that follows the story of a television network struggling to maintain its ratings.
183,Bull Durham,Comedy,"<Bull Durham> is a 1988 sports comedy-drama film about a minor league baseball team in Durham, North Carolina."
184,Double Indemnity,Crime|Film-Noir,"<Double Indemnity> is a film noir classic about an insurance salesman, Walter Neff, who becomes involved in a plot to murder a wealthy businessman and collect on his life insurance policy."
185,Dog Day Afternoon,Comedy|Crime|Drama,<Dog Day Afternoon> is a crime drama film based on a true story.
186,American Graffiti,Comedy|Drama,<American Graffiti> is a coming-of-age comedy-drama film directed by George Lucas.
187,Mulan,Animation|Children's,Mulan  is an animated movie produced by Walt Disney Pictures.
188,Mommie Dearest,Drama,<Mommie Dearest> is a biographical drama film based on the memoir of the same name by Christina Crawford.
189,Blast from the Past,Comedy|Romance,"<Blast from the Past> is a romantic comedy film that tells the story of Adam Webber, a man who has spent his entire life in a fallout shelter with his parents, believing that a nuclear war had devastated the world."
190,Don Juan DeMarco,Comedy|Drama|Romance,<Don Juan DeMarco> is a romantic comedy-drama movie released in 1995.
191,Frequency,Drama|Thriller,<Frequency> is a science fiction thriller movie about a New York City firefighter named John Sullivan (played by Jim Caviezel) who discovers he can communicate with his deceased father Frank Sullivan (played by Dennis Quaid) through an old ham radio.
192,Return to Me,Drama|Romance,"<Return to Me> is a romantic comedy film about a man named Bob, who loses his wife in a car accident and later falls in love with a woman named Grace, who has received a heart transplant from Bob's deceased wife."
193,Superman,Action|Adventure|Sci-Fi,"<Superman > is a classic superhero film that tells the story of Kal-El, a baby from the planet Krypton who is sent to Earth by his parents before their planet's destruction."
194,"Bell, Book and Candle",Comedy|Romance,"<Bell, Book and Candle> is a romantic comedy/fantasy movie from 1958."
195,Superman II,Action|Adventure|Sci-Fi,<Superman II> is a superhero film that follows Superman's battle against three Kryptonian criminals who were released from the Phantom Zone and come to Earth to conquer it.
196,Out of Sight,Action|Crime|Romance,<Out of Sight> is a crime-comedy film directed by Steven Soderbergh.
197,Bound for Glory,Drama,"<Bound for Glory> is a biographical film about the life of Woody Guthrie, a folk singer and songwriter who became a voice for the working class during the Great Depression."
198,Ghostbusters,Comedy|Horror,<Ghostbusters > is a comedy film about three scientists who start a business capturing ghosts in New York City.
199,"Walk on the Moon, A",Drama|Romance,"<A Walk on the Moon> is a 1999 drama film set in the summer of 1969, during the Apollo 11 moon landing."
